"year","TotalTonnes","TotalValueUSD"
"2001","77254.05771582389","134674527.76"
"2002","76195.93405928518","123456883.83"
"2003","73588.79789974239","135158609.74"
"2004","81312.2777414247","150703885.14"
"2005","79375.49119976751","150539943.92"
"2006","79635.07332670511","151637730.57"
"2007","81191.83578351403","157194049.45"
"2008","78513.92638274499","147269648.38"
"2009","77903.50532615832","152683764.90"
"2010","72733.47208935511","130256776.54"
"2011","77431.9185274237","138899886.70"
"2012","75233.0695537389","132931374.47"
"2013","70040.6767231242","120976404.88"
"2014","73397.9881186345","126764022.96"
"2015","73285.48552574217","127664640.71"
"2016","75632.52204672131","132542973.51"
"2017","82815.9769984194","156831382.97"
"2018","77148.0572644574","140581566.43"
