"WhereCaught","Country","OverallMackerelWeight"
"Fiji","Fiji","7974.3459800608"
"Pacific, Western Central","USA","3109.4816183456"
"Pacific, Western Central","Viet Nam","858.8742179707"
"Pacific, Western Central","Indonesia","783.5793809094"
"Pacific, Western Central","Japan","534.093281447"
"Pacific, Western Central","Taiwan","523.5210345114"
"Pacific, Western Central","Korea (South)","358.0241285806"
"Pacific, Western Central","China","304.532199909"
"Fiji","China","178.5699763747"
"Fiji","Taiwan","175.8592760418"
"Pacific, Western Central","Papua New Guinea","169.17053965149998"
"Fiji","Japan","151.02538543080001"
"Fiji","Unknown Fishing Country","116.28362377009998"
"Pacific, Western Central","Fiji","114.2256688201"
"Fiji","Korea (South)","108.7459591042"
"Pacific, Western Central","French Polynesia","107.7579020939"
"Pacific, Western Central","Vanuatu","95.0468800468"
"Pacific, Western Central","Philippines","89.4121128138"
"Pacific, Western Central","American Samoa","76.4166316368"
"Pacific, Western Central","Solomon Isl.","72.0977295239"
"Fiji","Vanuatu","49.6969272726"
"Pacific, Western Central","Ecuador","39.7772184996"
"Pacific, Western Central","Marshall Isl.","38.2341667071"
"Pacific, Western Central","Cook Islands","29.3112232764"
"Fiji","Solomon Isl.","28.170510907"
"Fiji","USA","26.733787539999998"
"Fiji","Cook Islands","24.2873635091"
"Pacific, Western Central","Samoa","20.742305889300003"
"Fiji","Samoa","18.404381209100002"
"Pacific, Western Central","Spain","12.8996008565"
"Fiji","Papua New Guinea","0.9361793314"
"Fiji","Marshall Isl.","0.24850030840000004"
