"year","Country","WhereCaught","scientific_name","common_name","TotalWeightTonnes","TotalLandedValueUSD"
"2018","Singapore","Open High Seas / Global",,,"2707.0957966524","3968602.44"
"2017","Singapore","Open High Seas / Global",,,"3549.4777481558","5203534.38"
"2016","Singapore","Open High Seas / Global",,,"3682.5498432577","5398618.07"
"2015","Singapore","Open High Seas / Global",,,"3685.5726443951003","5403049.50"
"2014","Singapore","Open High Seas / Global",,,"3784.2305272991994","5547681.95"
"2013","Singapore","Open High Seas / Global",,,"3973.5440560903","5825215.59"
"2012","Singapore","Open High Seas / Global",,,"4274.9799187240005","6267120.56"
"2011","Singapore","Open High Seas / Global",,,"3857.6926193909003","5655377.38"
"2010","Singapore","Open High Seas / Global",,,"4184.4978479895","6134473.85"
"2009","Singapore","Open High Seas / Global",,,"4322.4127703184","6336657.12"
"2008","Singapore","Open High Seas / Global",,,"3819.3054496254","5599101.79"
"2007","Singapore","Open High Seas / Global",,,"8293.489058207502","12158254.96"
"2006","Singapore","Open High Seas / Global",,,"5866.062220763601","8599647.22"
"2005","Singapore","Open High Seas / Global",,,"4298.648406900201","6301818.56"
"2004","Singapore","Open High Seas / Global",,,"4609.080321746201","6756911.75"
"2003","Singapore","Open High Seas / Global",,,"4520.1448428192","6626532.34"
"2002","Singapore","Open High Seas / Global",,,"5811.4284246746","8519554.07"
"2001","Singapore","Open High Seas / Global",,,"9086.390048841198","13320647.81"
"2000","Singapore","Open High Seas / Global",,,"9146.602710931298","13408919.57"
"1999","Singapore","Open High Seas / Global",,,"10730.363855481099","15730713.41"
"1998","Singapore","Open High Seas / Global",,,"12292.3533342238","18020589.99"
"1997","Singapore","Open High Seas / Global",,,"14738.644860557402","21606853.37"
"1996","Singapore","Open High Seas / Global",,,"15470.105049435198","22679174.00"
"1995","Singapore","Open High Seas / Global",,,"15304.210848260496","22435973.10"
"1994","Singapore","Open High Seas / Global",,,"16631.4685710989","24381732.93"
"1993","Singapore","Open High Seas / Global",,,"14159.784239573097","20758243.70"
"1992","Singapore","Open High Seas / Global",,,"13774.320651881098","20193154.08"
"1991","Singapore","Open High Seas / Global",,,"17410.7318811817","25524132.94"
"1990","Singapore","Open High Seas / Global",,,"16548.2420622561","24259722.86"
"1989","Singapore","Open High Seas / Global",,,"15425.844808914497","22614288.49"
"1988","Singapore","Open High Seas / Global",,,"18874.809641046908","27670470.93"
"1987","Singapore","Open High Seas / Global",,,"21409.7879509693","31386749.14"
"1986","Singapore","Open High Seas / Global",,,"28472.375072892995","41740501.86"
"1985","Singapore","Open High Seas / Global",,,"30857.694335692602","45237379.90"
"1984","Singapore","Open High Seas / Global",,,"34566.8842055344","50675052.25"
"1983","Singapore","Open High Seas / Global",,,"25530.115028739292","37427148.63"
"1982","Singapore","Open High Seas / Global",,,"30849.53202532442","45225413.95"
"1981","Singapore","Open High Seas / Global",,,"20718.3498908675","30373100.94"
"1980","Singapore","Open High Seas / Global",,,"19926.8535152049","29212767.25"
"1979","Singapore","Open High Seas / Global",,,"21511.095869091798","31535266.54"
"1978","Singapore","Open High Seas / Global",,,"20464.7731886964","30001357.49"
"1977","Singapore","Open High Seas / Global",,,"19038.706362092704","27910743.53"
"1976","Singapore","Open High Seas / Global",,,"22581.606301371907","33104634.84"
"1975","Singapore","Open High Seas / Global",,,"18631.954448237906","27314445.22"
"1974","Singapore","Open High Seas / Global",,,"19610.0955954531","28748400.14"
"1973","Singapore","Open High Seas / Global",,,"18980.11670066","27824851.08"
"1972","Singapore","Open High Seas / Global",,,"15775.689098509301","23127160.22"
"1971","Singapore","Open High Seas / Global",,,"15258.224183786311","22368556.65"
"1970","Singapore","Open High Seas / Global",,,"17813.0295091704","26113901.26"
"1969","Singapore","Open High Seas / Global",,,"17509.447420584398","25668849.92"
